,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
41720,279,580,29,MNP,MP,580,4,Country/Area,954,Northern Mariana Islands,2,Medium,2022,49.42,49.551,26.635,22.916,108.4267,116.2288,38.7093,0.301,6.076,0.262,0.529,131.0297,0.604,0.048,12.183,2.1485,0.9855,28.475,115.1,0.303,0.185,0.118,6.107,77.4714,75.8627,79.4588,63.1469,61.5714,65.0944,16.9704,15.8376,18.3285,7.4356,6.8708,7.9913,0.004,5.9128,0.601,0.004,7.3063,24.4906,27.922,20.2226,94.4034,108.1387,78.5566,35.1669,39.8234,29.3927,86.2622,99.5414,70.9651,-0.05,-1.009
41872,280,585,,PLW,PW,585,4,Country/Area,954,Palau,2,Medium,2022,18.051,18.055,9.376,8.679,39.2489,108.0251,35.785,0.028,1.512,0.007,0.039,,0.27,0.026,14.934,2.3734,1.0778,28.55,107.7,0.242,0.144,0.099,13.422,65.3617,62.2003,69.3144,51.8976,48.7366,55.8567,13.2453,11.3916,15.0052,6.2641,5.4384,6.6801,0.004,14.6285,0.267,0.005,17.243,111.0842,125.9906,93.5339,315.9304,375.8603,241.2363,167.5591,199.0905,127.5435,298.9968,359.7143,223.3429,-0.02,-1.107
42024,281,957,34,,,61,3,Subregion,909,Polynesia,2,Medium,2022,720.201,723.49,364.179,359.311,89.9192,101.3548,27.2626,10.154,14.001,6.578,0.909,76.2538,13.824,1.035,19.061,2.6211,1.2374,29.236,107.1,3.67,2.11,1.56,5.06,77.1493,74.7862,79.7025,63.3187,61.0218,65.7943,17.8109,16.2743,19.3606,8.274,7.4165,8.936,0.146,10.67,13.693,0.171,12.7416,37.3182,43.4308,31.1376,113.3424,136.9538,88.2476,45.6412,55.1787,36.1079,99.5195,122.285,75.4026,-3.429,-4.728
42176,282,16,29,ASM,AS,16,4,Country/Area,957,American Samoa,2,Medium,2022,44.446,44.272,21.873,22.4,221.3625,97.6495,28.2539,0.454,10.153,-0.347,-0.784,,0.765,0.052,17.12,2.2536,1.077,29.6,106,0.311,0.176,0.135,6.967,72.7231,70.0041,75.5408,58.5509,55.9872,61.1877,13.8983,12.3206,15.3552,5.7324,4.8941,6.3532,0.005,7.0377,0.76,0.008,9.8115,35.0672,46.1389,24.1583,149.0139,185.7186,111.436,58.1546,73.7465,42.7418,139.0201,173.9059,103.5929,-0.81,-18.13
42328,283,184,35,COK,CK,184,4,Country/Area,957,Cook Islands,2,Medium,2022,16.989,17.01,8.097,8.914,70.8771,90.829,33.2669,0.131,7.681,0.043,0.253,,0.275,0.029,16.11,2.2256,1.0632,28.612,106,0.144,0.085,0.059,8.429,75.1477,71.4446,79.0355,60.793,57.0918,64.6744,16.5764,14.6736,18.4881,7.5514,6.7215,8.1849,0.002,5.6616,0.274,0.002,6.7897,38.2117,54.5498,24.6467,144.1048,198.3032,91.5469,63.2279,93.1674,37.1679,136.4666,190.7242,83.9464,-0.1,-5.862
42480,284,258,2,PYF,PF,258,4,Country/Area,957,French Polynesia,2,Medium,2022,304.967,306.279,154.794,151.485,83.1376,102.1844,33.4542,2.729,8.91,2.624,0.857,80.8807,3.844,0.364,12.55,1.688,0.8121,28.932,105.9,1.115,0.661,0.454,3.64,83.5504,81.3292,85.9771,69.1415,66.9235,71.5641,21.11,19.2487,23.0734,9.958,8.6684,11.0773,0.021,5.3548,3.825,0.024,6.2141,13.5959,14.6509,12.5163,44.9571,54.3698,34.842,14.5018,16.7063,12.2805,38.0637,47.3118,28.1264,-0.1,-0.326
42632,285,570,35,NIU,NU,570,4,Country/Area,957,Niue,2,Medium,2022,1.931,1.934,0.907,1.026,7.4365,88.3585,35.9361,0,0.226,0.005,0.259,,0.027,0.001,14.007,2.4151,1.1182,30.438,107.1,0.027,0.012,0.014,13.781,71.1885,69.4508,72.8679,58.1801,56.6068,59.6719,14.3715,13.1827,15.3306,6.3109,5.7182,6.5722,0.001,19.4406,0.027,0.001,23.4875,60.909,66.9169,56.2427,178.7542,197.0883,159.4286,70.3822,75.6107,66.6674,155.0935,171.4472,137.9611,0,0
42784,286,882,,WSM,WS,882,4,Country/Area,957,Samoa,2,Medium,2022,220.728,222.382,113.375,109.007,78.5802,104.0071,20.6389,4.808,21.547,3.308,1.488,46.5825,6.024,0.458,26.997,3.8754,1.8116,29.35,107.6,1.216,0.685,0.531,5.45,72.5978,70.1463,75.3331,59.1416,56.7868,61.7632,14.8854,13.4409,16.3236,6.5669,5.8853,7.0022,0.091,15.0759,5.944,0.108,17.9908,50.5634,60.0377,40.7471,160.0069,191.9319,124.525,62.9827,76.6744,48.6852,141.6266,172.4579,107.4524,-1.5,-6.722
42936,287,772,35,TKL,TK,772,4,Country/Area,957,Tokelau,2,Medium,2022,1.861,1.871,0.934,0.936,155.9167,99.7864,26.6621,0.021,11.246,0.02,1.069,64.8407,0.035,0.004,18.543,2.6734,1.2846,29.552,103,0.014,0.006,0.007,7.297,75.3802,74.4241,76.1984,60.9969,60.083,61.7698,16.5672,15.5173,17.4774,7.4847,6.8974,7.7968,0,4.7222,0.035,0,5.9374,38.4792,36.0179,40.9421,137.3785,138.5182,137.2229,61.5629,57.2668,65.8376,129.9681,130.6219,130.3081,0,0
43088,288,776,,TON,TO,776,4,Country/Area,957,Tonga,2,Medium,2022,106.399,106.858,52.848,54.01,164.3962,97.8495,21.7145,1.717,16.009,0.917,0.858,80.7864,2.456,0.107,22.894,3.1934,1.4817,30.396,108.1,0.739,0.407,0.332,6.885,71.2702,68.5813,74.1234,57.2903,54.6418,60.0925,14.8889,13.2305,16.5163,6.7682,6.0565,7.3231,0.023,9.1821,2.436,0.027,10.915,61.0435,69.7934,52.8562,201.6126,240.0884,162.637,93.7893,111.4062,77.6598,189.6687,227.8621,151.131,-0.8,-7.458
